id,noc,medal
487,URS,Gold
488,URS,Gold
489,RUS,Bronze
490,RUS,Bronze
491,LUX,Silver
492,GHA,Bronze
493,USA,Silver
494,ROU,Bronze
495,ROU,Bronze
496,ROU,Silver
497,ROU,Gold
498,ROU,Gold
499,ROU,Gold
500,ROU,Bronze
501,GHA,Bronze
502,GER,Gold
503,URS,Bronze
504,BRA,Bronze
505,ITA,Bronze
506,GHA,Bronze
507,ESP,Silver
508,ESP,Silver
509,ESP,Bronze
510,ESP,Silver
511,ESP,Silver
512,ESP,Bronze
513,ARG,Bronze
514,BRA,Silver
515,BRA,Gold
516,BRA,Bronze
517,BRA,Bronze
518,ESP,Gold
519,ESP,Silver
520,ITA,Gold
521,NGR,Silver
522,ITA,Silver
523,USA,Gold
524,HUN,Gold
525,SWE,Bronze
526,FRA,Silver
527,URS,Silver
528,ITA,Bronze
529,USA,Gold
530,USA,Gold
531,GER,Bronze
532,NGR,Gold
533,USA,Silver
534,AUS,Bronze
535,ESP,Bronze
536,BOT,Silver
537,URS,Gold
538,GDR,Gold
539,GER,Silver
540,CAN,Bronze
541,NOR,Silver
542,NGR,Gold
543,NGR,Bronze
544,KOR,Silver
545,KOR,Gold
546,KOR,Bronze
547,KOR,Bronze
548,PRK,Silver
549,PRK,Gold
550,KOR,Bronze
551,RUS,Gold
552,KOR,Silver
553,CHN,Silver
554,CHN,Silver
555,BRA,Bronze
556,BRA,Bronze
557,CAN,Gold
558,BLR,Silver
559,ITA,Silver
560,YUG,Silver
561,YUG,Gold
562,CRO,Bronze
563,NED,Silver
564,POL,Gold
565,FRA,Gold
566,SUI,Silver
567,USA,Bronze
568,DEN,Gold
569,DEN,Gold
570,DEN,Bronze
571,NOR,Bronze
572,DEN,Gold
573,DEN,Gold
574,DEN,Silver
575,NOR,Bronze
576,NOR,Gold
577,NOR,Silver
578,DEN,Gold
579,NOR,Silver
580,DEN,Gold
581,NOR,Gold
582,DEN,Gold
583,DEN,Silver
584,NOR,Bronze
585,DEN,Silver
586,DEN,Gold
587,NOR,Silver
588,BRA,Bronze
589,BRA,Gold
590,BRA,Silver
591,USA,Gold
592,USA,Gold
593,USA,Bronze
594,AUS,Silver
595,AUS,Bronze
596,CAN,Silver
597,USA,Silver
598,USA,Gold
599,CAN,Gold
600,USA,Gold
601,AUS,Gold
602,USA,Bronze
603,USA,Silver
604,USA,Silver
